Community_ID,Community,exit_number,road_name,fclass,osm_id,graph_node_x,graph_node_y,component_id_after_cut,component_size_after_cut,largest_outside_component_size,exit_status
603,Kalkarindji,2,,unclassified,769267652,-125238.62,-1861499.16,87,25,710864,LOCAL_OR_DEAD_END
603,Kalkarindji,3,,unclassified,769267652,-125144.33,-1861138.48,87,25,710864,LOCAL_OR_DEAD_END
603,Kalkarindji,4,,unclassified,29132372,-124710.58,-1860683.35,0,710864,710864,EXTERNAL_EXIT
603,Kalkarindji,5,,unclassified,769278587,-123338.12,-1861141.46,78,29,710864,LOCAL_OR_DEAD_END
603,Kalkarindji,6,Buntine Highway,primary,188724855,-123253.78,-1861712.01,0,710864,710864,EXTERNAL_EXIT
603,Kalkarindji,7,Buntine Highway,primary,732316155,-124690.16,-1862459.45,0,710864,710864,EXTERNAL_EXIT
66,Kaltukatjara,1,,track_grade2,187125785,-290791.43,-2692155.59,0,710728,710728,EXTERNAL_EXIT
66,Kaltukatjara,2,,track,187125450,-292598.37,-2692600.65,44,86,710728,LOCAL_OR_DEAD_END
66,Kaltukatjara,3,,track,359222813,-291723.95,-2693022.17,182,1,710728,LOCAL_OR_DEAD_END
66,Kaltukatjara,4,,track,359222826,-291063.98,-2692720.31,0,710728,710728,EXTERNAL_EXIT
66,Kaltukatjara,5,,track,359222808,-292329.74,-2692861.04,98,19,710728,LOCAL_OR_DEAD_END
66,Kaltukatjara,6,,track,359222838,-292594.38,-2692606.03,44,86,710728,LOCAL_OR_DEAD_END
66,Kaltukatjara,7,,track,778212153,-290786.8,-2692124.33,0,710728,710728,EXTERNAL_EXIT
66,Kaltukatjara,8,,residential,40613649,-290974.4,-2691436.97,0,710728,710728,EXTERNAL_EXIT
66,Kaltukatjara,9,,track,187125465,-290824.12,-2691737.6,0,710728,710728,EXTERNAL_EXIT
66,Kaltukatjara,10,,track,359222806,-290853.06,-2691655.86,0,710728,710728,EXTERNAL_EXIT
66,Kaltukatjara,11,,residential,740132682,-292691.08,-2691611.48,0,710728,710728,EXTERNAL_EXIT
66,Kaltukatjara,12,,residential,187125462,-290931.38,-2691501.03,0,710728,710728,EXTERNAL_EXIT
66,Kaltukatjara,13,Docker River Community Access Road,residential,186986103,-291898.7,-2691032.62,0,710728,710728,EXTERNAL_EXIT
66,Kaltukatjara,14,,track,778212352,-291243.84,-2691182.97,0,710728,710728,EXTERNAL_EXIT
66,Kaltukatjara,15,,track,399509194,-292595.02,-2691444.85,0,710728,710728,EXTERNAL_EXIT
72,Kintore,1,,track,399723293,-264164.98,-2513112.39,0,711099,711099,EXTERNAL_EXIT
72,Kintore,2,,residential,189340138,-264152.03,-2513104.62,0,711099,711099,EXTERNAL_EXIT
72,Kintore,3,Ngutjul Road,unclassified,185819811,-263992.48,-2512983.73,0,711099,711099,EXTERNAL_EXIT
72,Kintore,4,,residential,189336567,-264824.93,-2511265.07,0,711099,711099,EXTERNAL_EXIT
